,title,author,read_cnt,reply_cnt,timestamp
0,我的天，太可怕了。,白马股投资者,40,2,08-09 11:24
1,从5月份开始，一直输，怎么办？平均一个月输10w，到现在30w没了，[哭][哭],股友N25023c785,21,1,08-09 11:43
2,从我近两年的数据观察，想让大A好起来，很简单的办法！,文凯诺大数据,262,5,08-09 11:31
3,不知不觉秋来了。让我们忘记所有的过去。忘记所谓的牛市。风里淡淡有了秋的味道，秋已,北京小影,679,29,08-09 07:06
4,A股：证券股波动之大，成为市场一块心病！周三，风将往哪方向吹?,趋势与取舍,2630,24,08-08 04:38
5,半导体板块在利空的刺激下继续重挫。抓热点，抓热点,YLSFGPDX,24,1,08-09 11:50
6,7.19记录实操,股友hun8835,2607,28,07-19 05:05
7,葛兰：200万相当于我下楼买了一瓶可口可乐,白马飞奔黑马过林,15142,83,08-09 09:35
8,涨2个点跌半个月，摩根说的没错[大笑],炒股买卡宴,36,2,08-09 11:47
9,各大ETF，最优秀的还是515050和515000,江水流春去欲尽,383,15,08-08 11:23
10,A股今天必跌，因为美股跌了，，，跪好,拉萨天团梅超风,1,0,08-09 11:52
11,果然不出所料收一个阴十字星，大家可以关注一下2013年6月3日是不是也是一个阴十,一辈子做滑头,105,4,08-08 03:05
12,只有热点板块，其他的板块都趴下，这种行情适合那帮打短线的。市场钱就这么多，热钱就,渡_六尘,40,1,08-09 11:32
13,赔了8w不玩了！,多财满腹de蓝银皇,9,1,08-09 11:47
14,这种k线还敢买的都是勇士,etime007,9,1,08-09 11:45
15,这次回本，就销户，再也不炒A股，就算你10000点也不后悔，去美股玩，虽然美股也,机智的马舒茜,69,7,08-09 11:44
16,中午的午评咋写？房地产护盘，沪指上下波动10个点？个股3803家下跌？[大笑],风浪越大越精神,85,5,08-09 11:40
17,盘前盘中预判川金诺，今日-3-5可加仓，不T怎么玩差价，没直接卖是因为怕踏空，为,天意_NICAI,159,3,08-09 11:17
18,牛来咯，老乡进来接套咯[偷笑],股友2zM9616615,1,0,08-09 11:52
19,8-9节点空仓。中长线仓位无视波动。非节点时间点。感觉人都少了很多。[好困惑][,兔兔爱吃鱼,356,16,08-09 10:16
20,..大型一线名酒将借壳18亿小市值酒企，近期将公布，种种迹象已表明了，看不懂18,重组专业户,2215,18,07-29 07:50
21,大学生没有生活费加仓了，红一点可以嘛[哭],毕业养鱼,433,25,08-09 10:51
