,emotion,timestamp
0,0.001774,08-09 11
1,0.983440,08-09 11
2,0.958099,08-09 11
3,0.999994,08-09 07
4,0.001053,08-08 04
5,0.961403,08-09 11
6,0.953715,07-19 05
7,0.209457,08-09 09
8,0.001844,08-09 11
9,0.997570,08-08 11
10,0.016402,08-09 11
11,0.000057,08-08 03
12,0.346905,08-09 11
13,0.000058,08-09 11
14,0.049620,08-09 11
15,0.000011,08-09 11
16,0.010390,08-09 11
17,0.001622,08-09 11
18,0.015366,08-09 11
19,0.997389,08-09 10
20,0.000544,07-29 07
21,0.983482,08-09 10
22,0.999994,08-09 11
23,0.302556,08-09 09
24,0.861373,08-09 11
25,0.985491,08-09 11
26,0.817352,08-09 11
27,0.090015,08-09 11
28,0.982290,08-08 11
29,0.996757,08-08 03
30,0.025553,08-09 11
31,0.953821,08-09 11
32,0.893359,08-08 06
33,0.000000,08-08 06
34,0.851456,08-08 02
35,0.039433,08-09 11
36,0.992702,08-09 08
37,0.604773,08-09 11
38,0.000004,08-09 11
39,0.056837,08-09 10
40,0.002935,08-09 08
41,0.831186,08-09 11
42,0.001559,07-29 10
43,0.999983,08-07 10
44,0.999913,08-09 11
45,0.546037,08-09 06
46,0.991205,08-09 07
47,0.893056,08-09 11
48,0.090015,08-09 11
49,0.953821,08-09 11
50,0.000009,08-09 11
51,0.017866,08-09 09
52,0.980105,08-09 11
53,0.983800,08-09 11
54,0.989782,08-09 08
55,0.800133,08-09 10
56,0.000729,08-09 11
57,0.002516,08-09 10
58,0.963604,08-08 12
59,0.000492,08-09 11
60,0.972773,08-09 10
61,0.884295,08-09 11
62,0.000062,08-04 02
63,0.001603,08-08 01
64,0.999988,08-09 11
65,0.014072,08-08 05
66,0.962174,08-09 11
67,0.000584,08-09 11
68,0.088674,08-09 09
69,0.951300,08-09 11
70,0.973956,08-09 09
71,0.000544,07-30 06
72,0.031041,08-09 11
73,0.761373,08-09 11
74,0.002632,08-09 11
75,0.985259,04-20 09
76,0.004134,08-09 11
77,0.627653,08-09 08
78,0.044564,08-09 11
79,0.004259,08-08 12
80,0.044564,08-09 11
81,0.004259,08-08 12
82,0.053501,08-04 09
83,0.102925,08-08 07
84,0.191788,08-09 11
85,0.999856,08-09 11
86,0.808027,08-09 11
87,0.000001,08-09 10
88,0.984403,08-09 11
89,0.013927,08-09 11
90,0.008019,08-09 11
91,0.114541,08-07 01
92,0.999039,08-09 11
93,0.985125,08-09 11
94,0.014839,08-09 11
95,0.550167,08-09 11
96,0.027878,08-09 11
97,0.985489,08-09 11
98,0.419241,08-09 11
99,0.961322,08-09 11
100,0.017224,08-08 03
101,0.861373,08-07 02
102,0.999856,08-09 11
103,0.987250,08-08 03
104,0.937287,08-09 10
105,0.000499,08-09 11
106,0.000110,08-09 11
107,0.000853,08-09 11
108,0.011621,07-31 03
109,0.783605,08-07 05
110,0.960568,08-07 07
111,0.999900,08-09 10
112,0.959652,08-09 11
113,0.979982,08-07 03
114,0.800518,08-09 11
115,0.879987,08-09 07
116,0.005892,08-09 11
117,0.900860,08-09 11
118,0.541596,08-09 11
119,0.993559,08-09 11
120,0.468874,08-09 11
121,0.040419,08-09 11
122,0.969735,08-09 11
123,0.011634,08-09 11
124,0.994109,08-09 11
125,0.001129,08-09 11
126,0.006003,08-09 11
127,0.896127,08-09 11
128,0.971145,12-21 05
129,0.990607,08-09 11
130,0.173432,08-09 10
131,0.816353,08-09 11
132,0.069618,08-09 11
133,0.265959,08-09 11
134,0.005989,08-09 11
135,0.937774,08-09 11
136,0.996010,08-05 12
137,0.032907,08-09 11
138,0.997052,08-08 10
139,0.001434,08-09 11
140,0.019618,08-09 11
141,0.968103,08-09 11
142,0.999891,08-09 11
143,0.997570,08-09 11
144,0.055346,08-09 11
145,0.000157,08-09 11
146,0.998253,08-09 11
147,0.000914,08-09 11
148,0.999501,08-09 11
149,0.017363,08-09 11
150,0.000032,08-09 11
151,0.201320,08-09 09
152,0.955777,08-08 04
153,0.006258,08-08 08
154,0.000052,08-09 11
155,0.880150,08-09 11
156,0.002265,08-09 11
157,0.932516,08-09 11
158,0.975294,08-09 11
159,0.000024,08-09 11
160,0.006258,08-08 08
161,0.000052,08-09 11
162,0.880150,08-09 11
163,0.002265,08-09 11
164,0.932516,08-09 11
165,0.975294,08-09 11
166,0.000024,08-09 11
167,0.000001,08-09 11
168,0.058050,08-09 11
169,0.000946,08-09 11
170,0.000005,08-09 11
171,0.424267,08-09 11
172,0.995137,08-09 11
173,0.009973,08-09 11
174,0.000043,08-09 11
175,0.622249,08-09 11
176,0.199368,08-09 11
177,0.405066,08-09 11
178,0.999997,08-09 11
179,0.987241,08-09 11
180,0.219461,08-09 11
181,0.000202,08-08 08
182,0.038058,08-09 11
183,0.088815,08-09 11
184,0.036271,08-09 11
185,0.000630,08-09 11
186,0.000596,08-09 11
187,0.990251,08-08 12
188,0.962618,08-09 11
189,0.091053,08-09 11
190,0.054886,08-09 11
191,0.294929,08-09 11
192,0.997609,08-09 11
193,0.856060,08-09 11
194,0.991151,08-09 11
195,0.999434,08-09 11
196,0.999665,08-09 11
197,0.013101,08-09 11
198,0.925463,08-09 11
199,0.595476,08-09 11
200,0.999504,08-09 11
201,0.125515,04-17 03
202,0.415178,08-09 10
203,0.802325,08-09 11
204,0.946097,08-09 11
205,0.993637,05-23 07
206,0.050661,08-09 11
207,0.417970,08-09 11
208,0.000091,08-09 11
209,0.982148,08-09 11
210,0.012948,08-08 08
211,0.999942,07-30 06
212,0.004851,08-09 11
213,0.016692,08-09 11
214,0.992013,08-09 11
215,0.419274,08-09 11
216,0.953129,07-19 12
217,0.987074,08-09 11
218,0.175085,08-09 11
219,0.966736,08-09 11
220,0.004842,08-09 11
221,0.000048,08-09 11
222,1.000000,08-09 11
223,0.415087,08-09 11
224,0.000725,08-09 11
225,0.010093,08-09 09
226,0.815800,08-09 11
227,0.754941,08-09 11
228,0.979818,08-08 09
229,0.852552,06-16 08
230,0.999155,08-09 10
231,0.004365,08-09 11
232,0.974890,07-21 09
233,0.074438,08-09 11
234,0.001451,08-08 09
235,0.344465,08-09 11
236,0.112360,08-09 11
237,0.000008,08-09 11
238,0.010571,08-09 11
239,0.006273,08-09 11
240,0.657679,08-09 11
241,0.907261,08-09 11
242,0.700606,08-08 06
243,0.998050,08-09 11
244,0.005165,08-09 11
245,0.139674,08-09 10
246,0.006955,08-09 11
247,0.000043,08-09 11
248,0.013641,08-06 06
249,0.731136,08-09 11
250,0.084920,05-23 02
251,0.283870,08-09 11
252,0.036275,08-09 11
253,0.923248,08-09 11
254,0.004326,08-09 11
255,0.456182,06-22 12
256,0.900860,08-09 11
257,0.140183,08-09 11
258,0.286321,08-09 11
259,0.367109,08-09 11
260,0.005715,08-09 11
261,0.005904,07-26 01
262,0.051309,08-09 08
263,0.895390,08-07 04
264,0.021085,08-09 10
265,0.000331,08-09 11
266,0.002456,08-09 11
267,0.088535,08-09 11
268,0.002599,08-09 11
269,0.997326,08-09 11
270,0.062099,08-09 11
271,0.060256,08-09 11
272,1.000000,08-08 07
273,0.845321,08-09 11
274,0.082112,08-09 11
275,0.064959,08-09 11
276,0.102019,08-09 11
277,0.733023,08-09 11
278,0.509163,08-09 11
279,0.895053,08-09 11
280,0.064959,08-09 11
281,0.006164,08-09 11
282,0.999988,08-09 11
283,0.000009,08-09 10
284,0.999893,08-08 09
285,0.010595,08-09 11
286,0.946902,08-09 11
287,0.000055,08-09 10
288,0.990311,08-09 11
289,0.964057,07-17 02
290,0.257595,08-09 11
291,0.982718,08-09 11
292,0.547400,08-09 11
293,0.020903,08-09 11
294,0.557835,08-09 11
295,0.077776,08-09 11
296,0.785168,08-09 11
297,0.970482,08-09 11
298,0.433364,08-09 11
299,0.023693,08-09 11
300,0.999243,08-09 11
301,0.987480,08-07 04
302,0.838245,08-09 11
303,0.002080,08-09 11
304,0.250196,08-09 11
305,0.003920,08-09 11
306,0.000257,08-09 11
307,0.000328,08-09 11
308,0.003931,08-09 11
309,0.908323,08-09 11
310,0.820224,08-09 11
311,0.000014,08-09 11
312,0.997704,08-09 11
313,0.240848,08-09 11
314,0.980363,08-09 11
315,0.000021,08-09 11
316,0.536451,08-09 11
317,0.256662,08-09 11
318,0.992746,08-09 11
319,0.007407,08-09 11
320,0.014761,08-09 11
321,0.000867,08-09 11
322,0.080551,08-09 11
323,0.985787,08-07 01
324,0.021319,08-09 11
325,0.595964,08-09 11
326,0.002138,08-08 07
327,0.999221,08-09 11
328,0.000085,08-09 11
329,0.000096,08-09 11
330,0.956132,08-09 11
331,0.023308,08-09 11
332,0.959114,08-09 11
333,0.050905,08-09 11
334,0.979906,08-09 11
335,0.942978,08-09 11
336,0.008208,08-09 11
337,0.910844,08-09 10
338,1.000000,08-09 05
339,0.024509,08-09 11
340,0.001982,08-09 11
341,0.023462,08-09 11
342,0.982414,08-09 11
343,0.039306,08-09 11
344,0.002926,08-09 11
345,0.000042,08-09 11
346,0.993482,08-09 11
347,0.000005,08-09 11
348,0.945340,08-09 11
349,0.043064,08-09 11
350,0.995814,08-09 11
351,0.997899,08-09 11
352,0.979891,08-09 11
353,0.001838,08-09 11
354,0.001702,08-09 11
355,0.035668,08-09 11
356,0.927748,08-09 11
357,0.527071,08-09 11
358,0.999772,08-09 11
359,0.063539,08-09 11
360,0.930702,08-09 08
361,0.896012,08-09 11
362,0.047938,08-09 11
363,0.832058,08-08 07
364,0.000376,08-09 11
365,0.407619,08-09 11
366,0.005721,08-09 11
367,0.036309,08-09 11
368,0.005398,08-09 11
369,0.999217,08-09 11
370,0.273132,08-09 10
371,0.999997,08-09 11
372,0.003439,08-09 11
373,0.006634,08-09 11
374,0.096128,08-08 11
375,0.996070,08-09 11
376,0.701315,08-09 11
377,0.031319,08-09 11
378,0.069705,08-09 11
379,0.920514,08-09 11
380,0.047215,08-08 03
381,0.990690,08-09 11
382,0.999836,08-09 11
383,0.066769,08-09 11
384,0.000465,08-09 10
385,0.970140,08-09 11
386,0.892335,08-09 11
387,0.002660,08-09 11
388,0.025920,08-09 11
389,0.526364,08-09 11
390,0.005513,08-09 11
391,0.000167,08-09 11
392,0.024112,08-09 11
393,0.664214,08-09 11
394,0.865128,08-09 11
395,0.027793,08-09 11
396,0.781468,08-09 11
397,0.032541,08-09 11
398,0.069502,08-09 11
399,0.432502,08-09 11
400,0.090015,08-09 11
401,0.091359,08-09 11
402,0.127676,08-09 11
403,0.922918,08-09 07
404,0.272792,08-09 11
405,0.999981,08-09 11
406,0.889808,08-09 11
407,0.002214,08-04 08
408,0.073364,08-03 07
409,0.949745,08-09 11
410,0.999793,08-09 11
411,0.005641,08-08 10
412,0.001414,08-09 11
413,0.013656,08-09 11
414,0.503814,10-13 03
415,0.056395,08-09 08
416,0.247068,08-09 11
417,0.000347,08-09 11
418,0.888282,08-09 11
419,0.998808,08-09 11
420,0.954634,08-09 11
421,0.000813,08-09 11
422,0.000042,08-08 02
423,0.000047,07-10 11
424,0.000004,08-09 11
425,0.998253,08-09 11
426,0.003481,08-09 11
427,0.930094,03-06 09
428,0.474539,08-09 11
429,0.959559,08-09 11
430,0.995005,08-09 11
431,0.983014,08-09 11
432,0.022226,08-09 11
433,0.000003,08-09 11
434,0.000904,08-09 11
435,0.002580,08-09 11
436,0.132330,08-09 11
437,0.000364,08-09 11
438,0.012976,08-09 11
439,0.003690,08-09 11
440,0.000582,08-09 11
441,0.090015,08-09 11
442,0.993220,07-18 09
443,0.000865,08-09 11
444,0.041058,08-09 11
445,0.393056,08-09 11
446,0.999581,08-09 11
447,0.000578,08-09 11
448,0.955974,08-09 11
449,0.982148,08-09 11
450,0.046947,08-09 11
451,0.000631,08-09 11
452,0.007351,08-09 11
453,0.000637,08-09 11
454,0.262204,08-09 11
455,0.993863,08-09 11
456,0.945704,08-09 11
457,0.004851,08-09 11
458,0.000094,08-09 11
459,0.044650,08-09 11
460,0.986242,08-09 01
461,0.228634,08-09 11
462,0.161700,08-09 11
463,0.180864,08-09 11
464,0.687872,08-08 05
465,0.998023,08-09 11
466,0.000264,08-09 11
467,0.242115,08-09 11
468,0.999822,08-09 11
469,0.890601,08-09 11
470,0.995441,08-09 11
471,0.009391,08-09 10
472,0.004478,08-09 11
473,0.000212,08-09 11
474,0.007443,08-07 01
475,0.005900,08-09 11
476,0.972927,08-09 11
477,0.031417,08-08 10
478,0.998606,08-09 11
479,0.669892,08-09 11
480,0.074578,08-09 11
481,0.878081,08-09 11
482,0.096848,08-09 11
483,0.999979,08-09 11
484,0.993621,08-09 11
485,0.524555,08-09 11
486,0.901104,08-07 02
487,0.924241,08-09 11
488,0.003489,08-08 11
489,0.810563,08-09 11
490,0.996120,08-09 11
491,0.941836,08-09 11
492,0.999153,08-09 11
493,0.969906,08-09 11
494,0.819315,08-09 11
495,0.027306,08-09 11
496,0.924395,08-09 11
497,0.000052,08-09 11
498,0.098504,08-09 11
499,0.957308,08-09 11
500,0.000101,08-09 11
501,0.001451,08-08 10
502,0.016791,08-09 11
503,0.091619,08-09 11
504,0.000723,08-09 11
505,0.999782,08-09 11
506,0.829479,08-09 11
507,0.000249,08-09 11
508,0.999950,08-08 09
509,0.561836,08-09 11
510,0.057057,08-09 11
511,0.846895,08-09 11
512,0.908650,08-09 11
513,0.000031,08-09 11
514,0.973363,08-09 11
515,0.684563,08-09 11
516,0.981560,08-09 11
517,0.924279,08-09 11
518,0.966062,08-09 11
519,0.999295,08-09 11
520,0.987008,08-09 11
521,0.101021,08-09 11
522,0.028091,08-09 11
523,0.000021,08-09 11
524,0.999996,08-08 11
525,0.981560,08-09 11
526,0.878581,08-09 11
527,0.973897,08-09 11
528,0.956576,08-09 11
529,0.002473,08-09 11
530,0.077867,08-09 11
531,0.018936,08-09 11
532,0.046662,08-09 11
533,0.002073,08-09 11
534,0.002611,08-09 11
535,0.000207,08-09 11
536,0.001022,08-09 11
537,0.993159,07-31 06
538,0.197602,08-09 11
539,0.000357,08-09 11
540,0.948012,08-07 03
541,0.999958,08-09 11
542,0.823693,08-02 10
543,0.090015,08-09 11
544,0.001588,08-09 11
545,0.010174,08-09 11
546,0.003537,08-09 11
547,0.011159,08-09 11
548,0.911867,08-08 11
549,0.255628,08-09 11
550,0.002604,08-09 11
551,0.000243,08-09 11
552,0.003220,08-09 11
553,0.552014,08-09 11
554,0.006537,08-09 11
555,0.006113,08-09 11
556,0.267092,08-09 11
557,0.999989,08-09 11
558,0.995885,08-09 11
559,0.816438,08-09 11
560,0.999963,08-08 03
561,0.513310,08-09 11
562,0.464966,08-09 10
563,0.949030,08-09 10
564,0.004285,08-09 11
565,0.944557,08-09 10
566,0.075374,08-09 11
567,0.992053,08-09 11
568,0.972791,08-09 10
569,0.000120,08-09 10
570,0.061783,08-09 11
571,0.657391,08-09 11
572,0.001221,08-09 09
573,0.412154,08-09 11
574,0.999642,08-09 11
575,0.090015,08-09 11
576,0.579429,08-09 10
577,0.955677,08-09 11
578,0.001364,08-09 11
579,0.000080,08-09 10
580,0.226516,08-08 07
581,0.298207,08-09 11
582,0.850278,08-09 11
583,0.384406,08-09 11
584,0.348091,08-08 02
585,0.922299,08-09 11
586,0.891940,08-09 11
587,0.025497,08-09 11
588,0.997743,08-09 10
589,0.955253,08-09 11
590,0.999997,08-09 10
591,0.773395,08-09 11
592,0.000057,08-09 11
593,0.002347,08-09 11
594,0.884700,07-07 10
595,0.038538,08-09 11
596,0.999975,08-09 11
597,0.443409,08-09 10
598,0.975396,08-07 08
599,0.999378,08-09 10
600,1.000000,08-09 10
601,0.968632,08-09 10
602,0.063364,08-09 10
603,0.124914,08-09 10
604,0.165761,08-09 10
605,0.013482,08-09 10
606,0.005201,08-09 10
607,0.597116,08-09 10
608,0.239268,08-09 09
609,0.614961,08-09 10
610,0.005894,08-09 10
611,0.872740,08-09 10
612,0.401044,08-09 08
613,0.023406,08-09 09
614,0.991925,08-08 03
615,0.016199,08-09 10
616,0.951816,08-09 10
617,0.999879,08-09 10
618,0.993328,08-09 10
619,0.000001,08-09 10
620,0.985733,08-09 08
621,0.999976,08-09 10
622,0.000004,08-09 10
623,0.995661,08-09 10
624,0.000083,08-09 10
625,0.538975,08-09 10
626,0.007283,08-09 10
627,0.994519,08-09 10
628,0.533349,08-09 10
629,0.012498,08-09 10
630,0.963906,08-07 08
631,0.950532,08-08 03
632,0.970388,08-09 10
633,0.001117,08-09 10
634,0.030652,08-09 10
635,0.000019,08-09 10
636,0.002698,08-09 10
637,0.007298,08-08 07
638,0.280038,08-07 09
639,0.006269,08-09 10
640,0.001852,08-08 04
641,0.378483,08-09 10
642,0.162462,08-09 10
643,0.215976,08-08 10
644,0.838768,08-09 10
645,0.003125,08-09 10
646,0.998978,08-09 10
647,0.847339,08-09 10
648,0.741582,08-09 10
649,0.614568,08-09 10
650,0.588713,08-09 10
651,0.522685,08-09 10
652,1.000000,08-09 10
653,0.476549,08-07 01
654,0.967931,08-03 07
655,0.000050,08-09 10
656,0.861373,08-09 10
657,0.000005,08-09 10
658,0.999991,08-09 10
659,0.006002,08-09 10
660,0.447982,08-09 10
661,0.001086,08-09 10
662,0.733237,08-09 10
663,0.992213,08-09 10
664,0.924102,08-09 10
665,0.028694,08-09 10
666,0.989241,08-09 10
667,0.389763,08-09 10
668,0.001314,08-09 10
669,0.998236,08-09 10
670,0.914148,08-09 10
671,0.000007,08-09 10
672,0.013167,08-09 10
673,0.998326,08-09 10
674,0.939854,08-09 10
675,0.000405,08-09 10
676,0.010125,08-09 10
677,0.009893,08-09 10
678,0.983263,08-09 10
679,0.021828,08-09 10
680,0.000315,08-08 03
681,0.866838,07-20 11
682,0.887030,08-09 08
683,0.009954,08-09 10
684,0.000046,08-09 10
685,0.186090,08-09 10
686,0.106897,08-09 10
687,0.999991,08-09 10
688,0.998932,08-09 10
689,0.005097,08-09 10
690,0.999517,08-09 10
691,0.000130,08-09 10
692,0.013447,08-09 10
693,0.020822,08-09 10
694,0.999967,08-09 10
695,0.999694,08-09 09
696,0.022160,08-09 10
697,0.010697,08-09 10
